,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
13560,20,Private,Some-college,Separated,Sales,Unmarried,Black,Female,40,United-States,<=50K
26994,18,Private,Some-college,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K
4449,19,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K
25693,37,Private,Doctorate,Separated,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
18786,49,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K
16756,23,Private,HS-grad,Never-married,Priv-house-serv,Unmarried,Other,Female,40,Guatemala,<=50K
32446,36,Private,Preschool,Divorced,Other-service,Not-in-family,Other,Male,72,Mexico,<=50K
12530,47,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
29881,35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
31314,35,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,50,United-States,<=50K
13963,50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,40,China,<=50K
15386,69,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
18136,57,Private,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K
3351,42,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,>50K
20056,40,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
7356,37,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Unmarried,White,Male,56,United-States,<=50K
24434,37,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K
6840,49,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Female,40,United-States,<=50K
32328,61,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K
812,40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K
24794,18,Private,11th,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K
20874,44,Local-gov,Assoc-voc,Divorced,Protective-serv,Own-child,White,Female,40,Cuba,<=50K
25383,43,State-gov,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Male,50,United-States,>50K
8195,36,Self-emp-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K
29124,44,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,>50K
30614,21,Private,Some-college,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
12191,22,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,30,United-States,<=50K
16130,42,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
27985,49,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,22,United-States,<=50K
11017,26,Private,Some-college,Separated,Sales,Other-relative,Black,Male,30,United-States,<=50K
18972,27,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
24475,52,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
8240,58,?,7th-8th,Married-civ-spouse,?,Husband,White,Male,24,United-States,<=50K
1834,53,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,Germany,>50K
23497,34,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
29505,46,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
32307,36,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
3053,56,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,44,United-States,>50K
17801,36,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
9487,22,Private,10th,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
31329,37,Private,Some-college,Never-married,Exec-managerial,Unmarried,Black,Female,40,United-States,<=50K
6263,62,Self-emp-not-inc,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
1229,21,Private,Some-college,Never-married,Tech-support,Own-child,White,Male,16,United-States,<=50K
9105,36,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,36,United-States,<=50K
1215,36,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
23674,52,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
26845,31,Private,Assoc-acdm,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K
6551,42,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,58,United-States,<=50K
24199,23,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,40,United-States,>50K
21947,27,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
6052,25,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K
28424,44,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,42,United-States,<=50K
32130,19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
30046,45,Private,11th,Married-civ-spouse,Other-service,Wife,White,Female,36,United-States,<=50K
17306,52,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
26330,21,Private,Some-college,Divorced,Craft-repair,Own-child,White,Male,40,United-States,<=50K
13642,46,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
718,32,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
4604,34,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Female,40,United-States,<=50K
15187,39,Private,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
6910,22,Private,Some-college,Divorced,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K
11057,22,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K
10760,46,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
16935,38,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,>50K
4853,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
9684,31,Private,Some-college,Divorced,Sales,Own-child,White,Female,30,United-States,<=50K
16619,46,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K
18298,55,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,32,United-States,<=50K
18912,35,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,43,United-States,<=50K
6776,31,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,42,United-States,<=50K
3106,49,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K
5820,28,Private,Bachelors,Divorced,Craft-repair,Unmarried,White,Male,50,United-States,<=50K
16914,66,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,24,United-States,<=50K
20402,73,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K
22905,53,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,>50K
19650,46,?,5th-6th,Married-civ-spouse,?,Wife,White,Female,40,Mexico,<=50K
32316,21,Private,9th,Never-married,Machine-op-inspct,Own-child,Black,Male,20,United-States,<=50K
7434,42,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
17718,52,Private,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
20253,28,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K
17016,22,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
17222,19,Private,Some-college,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
4741,27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
1787,43,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K
11589,38,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,20,United-States,<=50K
16001,33,Private,Assoc-voc,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
29463,38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
2788,60,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,48,United-States,>50K
366,42,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,>50K
18295,50,Self-emp-not-inc,Some-college,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
20967,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
16987,32,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
7655,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,52,United-States,>50K
6946,47,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K
7308,41,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,50,United-States,<=50K
4589,30,Private,11th,Never-married,Other-service,Own-child,White,Female,19,United-States,<=50K
18604,34,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
18249,69,?,1st-4th,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,34,Philippines,<=50K
6732,22,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,30,Germany,<=50K
3413,46,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,United-States,<=50K
25200,61,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
20835,62,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
17634,59,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
7523,46,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,<=50K
27795,57,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K
23977,31,Federal-gov,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K
17512,55,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
17757,26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
17675,34,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K
22507,19,Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Male,10,United-States,<=50K
4936,56,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K
7418,70,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,30,United-States,<=50K
28294,68,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,16,United-States,<=50K
16168,44,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
10862,32,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
18678,39,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
30664,20,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,<=50K
30323,44,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
728,33,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,>50K
16136,38,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Black,Male,52,United-States,<=50K
15540,40,Local-gov,Prof-school,Separated,Prof-specialty,Own-child,Black,Female,40,United-States,<=50K
11849,42,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
10129,23,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,5,United-States,<=50K
14240,27,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,30,United-States,<=50K
9607,60,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,40,United-States,>50K
1951,57,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
11750,36,Local-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
8088,19,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K
1500,49,Local-gov,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
25992,49,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
17196,37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,42,United-States,<=50K
21404,22,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,55,United-States,<=50K
12879,37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States,>50K
5722,26,Private,HS-grad,Never-married,Sales,Not-in-family,Black,Male,40,United-States,<=50K
32541,71,?,Doctorate,Married-civ-spouse,?,Husband,White,Male,10,United-States,>50K
22797,29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,42,United-States,>50K
16636,26,Self-emp-not-inc,Assoc-voc,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K
31321,48,State-gov,Masters,Separated,Prof-specialty,Not-in-family,White,Male,60,United-States,<=50K
32333,24,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,40,Mexico,<=50K
24694,49,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,United-States,<=50K
882,35,Private,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,Iran,>50K
8099,28,Private,Some-college,Married-civ-spouse,Sales,Husband,Other,Male,60,?,<=50K
12885,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,10,United-States,<=50K
4058,51,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,45,United-States,<=50K
3481,20,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,<=50K
12223,24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,39,United-States,<=50K
27909,44,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K
7223,38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
30753,46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
1984,40,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,United-States,>50K
29226,28,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
14904,24,Private,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K
2237,59,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
19034,18,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,40,Columbia,<=50K
10418,52,Local-gov,Some-college,Divorced,Transport-moving,Not-in-family,White,Female,40,United-States,<=50K
26950,48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
26251,61,?,Bachelors,Divorced,?,Unmarried,White,Female,40,United-States,<=50K
15236,44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
18646,28,Private,Some-college,Divorced,Sales,Unmarried,White,Female,45,United-States,<=50K
30742,29,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K
22518,36,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,>50K
18468,30,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,37,United-States,<=50K
13939,24,Private,HS-grad,Never-married,Sales,Own-child,White,Female,30,United-States,<=50K
23367,41,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K
9109,43,Private,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
6018,25,Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,40,United-States,<=50K
25290,39,State-gov,Some-college,Separated,Prof-specialty,Unmarried,Black,Female,37,United-States,<=50K
6528,41,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K
27569,36,Local-gov,Assoc-acdm,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
21473,42,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
30514,17,?,10th,Never-married,?,Own-child,White,Male,20,United-States,<=50K
7454,64,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,5,United-States,>50K
31569,38,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
4904,34,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,<=50K
31264,47,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
12107,27,State-gov,Some-college,Never-married,Tech-support,Own-child,White,Female,80,United-States,<=50K
18739,22,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,30,United-States,<=50K
7604,69,Private,11th,Married-civ-spouse,Adm-clerical,Husband,White,Male,20,United-States,<=50K
21240,37,Private,Assoc-voc,Divorced,Machine-op-inspct,Not-in-family,Black,Male,48,United-States,<=50K
5981,23,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,42,United-States,<=50K
16893,24,?,HS-grad,Separated,?,Not-in-family,White,Female,38,United-States,<=50K
4874,42,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
6712,31,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
1312,30,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,80,United-States,<=50K
30591,28,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,?,>50K
20013,45,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
19645,23,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,15,United-States,<=50K
7783,21,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,20,United-States,<=50K
15569,40,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,35,United-States,>50K
21734,24,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K
19516,25,Private,Bachelors,Never-married,Sales,Not-in-family,Black,Female,40,United-States,<=50K
30574,41,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Guatemala,<=50K
14315,30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
23178,37,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
21214,50,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,40,Puerto-Rico,<=50K
12447,33,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K
26317,32,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,36,United-States,<=50K
31315,29,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,10,United-States,<=50K
24410,28,Private,Some-college,Never-married,Other-service,Unmarried,White,Female,35,United-States,<=50K
24274,27,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,37,United-States,<=50K
1482,60,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
32263,51,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,<=50K
19087,22,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K
9272,76,?,10th,Married-civ-spouse,?,Husband,White,Male,1,United-States,<=50K
25721,42,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K
13061,77,?,5th-6th,Married-civ-spouse,?,Husband,White,Male,20,United-States,<=50K
14863,22,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
22672,26,Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K
32471,58,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
2188,49,Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,30,United-States,>50K
4631,24,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,20,United-States,<=50K
8097,29,?,Some-college,Divorced,?,Unmarried,White,Female,30,United-States,<=50K
17622,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
27073,27,Local-gov,HS-grad,Never-married,Protective-serv,Own-child,White,Male,38,United-States,<=50K
27009,20,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K
17866,36,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
18652,36,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K
295,30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
25304,34,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,50,United-States,<=50K
26428,28,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K
25116,58,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
27289,31,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,6,South,<=50K
14218,42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
8289,45,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Black,Female,15,United-States,<=50K
27850,69,?,Doctorate,Married-civ-spouse,?,Husband,White,Male,50,United-States,>50K
22908,47,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
17165,28,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K
10977,41,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,52,United-States,<=50K
10023,26,Private,Assoc-voc,Never-married,Prof-specialty,Own-child,Other,Female,60,Jamaica,<=50K
20164,19,?,Some-college,Never-married,?,Not-in-family,White,Female,32,United-States,<=50K
11879,30,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
16578,45,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K
30168,17,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,10,United-States,<=50K
1584,50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,?,>50K
1499,39,Federal-gov,Bachelors,Divorced,Tech-support,Unmarried,Black,Female,40,United-States,<=50K
19470,30,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,30,United-States,<=50K
20143,45,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
11759,32,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,50,United-States,<=50K
27742,61,Private,Bachelors,Divorced,Priv-house-serv,Not-in-family,White,Female,12,?,<=50K
28528,59,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
30374,35,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K
32120,59,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K
12703,17,Private,10th,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,<=50K
32486,41,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
6848,60,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K
17051,31,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,48,United-States,<=50K
31544,27,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
19980,27,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,40,United-States,<=50K
24700,37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
16215,47,Private,Some-college,Divorced,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
809,57,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K
9383,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
25464,43,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
3782,81,Self-emp-inc,10th,Married-civ-spouse,Exec-managerial,Wife,White,Female,28,United-States,<=50K
23347,48,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,United-States,>50K
20205,62,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K
26372,52,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K
221,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,12,United-States,<=50K
27960,39,State-gov,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
16604,53,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,30,United-States,>50K
1783,46,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
10802,38,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
20325,29,Local-gov,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,35,Nicaragua,>50K
24947,39,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
18071,19,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
2345,48,?,Some-college,Never-married,?,Not-in-family,White,Male,60,United-States,>50K
20727,50,State-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
2931,39,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
13719,71,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
26159,29,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K
15064,44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K
7622,50,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,60,Columbia,<=50K
14651,23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K
23721,24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
19791,41,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K
1213,44,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
14159,36,Private,HS-grad,Never-married,Sales,Own-child,White,Male,45,?,<=50K
